product_id,category_name,name,description,image_url,price,created_by
1,Electronics,Smartphone,Latest model smartphone,https://picsum.photos/200,699.99,1
2,Books,Learning Python,Comprehensive guide to Python programming,https://picsum.photos/200,39.99,3
3,Clothing,T-shirt,Cotton t-shirt with cool design,https://picsum.photos/200,19.99,1
4,Shoes,Nike,Basketball shoes,https://picsum.photos/200,19.99,1
5,Jacket,Ross,Good jacket,https://picsum.photos/200,20.99,1
6,Fragrance-Women,Cologne Fragrance,ekw eau de cologne 400 ml,https://example.com/default-image.jpg,,
7,Westernwear-Women,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,https://example.com/default-image.jpg,,
8,Westernwear-Women,DRW2 - Westernwear-Women,womens round neck solid top - black,https://example.com/default-image.jpg,,
9,Westernwear-Women,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,https://example.com/default-image.jpg,,
10,Westernwear-Women,DRW4 - Westernwear-Women,womens round neck solid high low top - black,https://example.com/default-image.jpg,,
11,Westernwear-Women,DRW5 - Westernwear-Women,womens v-neck solid top - black,https://example.com/default-image.jpg,,
12,Westernwear-Women,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,https://example.com/default-image.jpg,,
13,Westernwear-Women,DRW7 - Westernwear-Women,womens v neck checked top - black,https://example.com/default-image.jpg,,
14,Westernwear-Women,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,https://example.com/default-image.jpg,,
15,Westernwear-Women,DRW9 - Westernwear-Women,womens round neck solid top - black,https://example.com/default-image.jpg,,
16,Westernwear-Women,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,https://example.com/default-image.jpg,,
17,Westernwear-Women,DRW11 - Westernwear-Women,womens round neck embroidered top - black,https://example.com/default-image.jpg,,
18,Westernwear-Women,DRW12 - Westernwear-Women,womens mandarin collar solid eyelet skater dress - green,https://example.com/default-image.jpg,,
19,Westernwear-Women,DRW13 - Westernwear-Women,womens off shoulder solid shift dress - blue,https://example.com/default-image.jpg,,
20,Westernwear-Women,DRW14 - Westernwear-Women,womens round neck embroidered top - cream,https://example.com/default-image.jpg,,
21,Westernwear-Women,DRW15 - Westernwear-Women,womens 2 pocket solid pants - navy,https://example.com/default-image.jpg,,
22,Westernwear-Women,DRW16 - Westernwear-Women,womens ruffled collar self printed top - natural,https://example.com/default-image.jpg,,
23,Westernwear-Women,DRW17 - Westernwear-Women,womens round neck solid top - birch,https://example.com/default-image.jpg,,
24,Westernwear-Women,DRW18 - Westernwear-Women,womens round neck solid knee length dress - black,https://example.com/default-image.jpg,,
25,Westernwear-Women,DRW19 - Westernwear-Women,womens scoop neck lace top - dark brown,https://example.com/default-image.jpg,,
26,Westernwear-Women,DRW20 - Westernwear-Women,printed polyester cowl neck womens dress - multi,https://example.com/default-image.jpg,,
27,Westernwear-Women,DRW21 - Westernwear-Women,printed rayon round neck womens top - print,https://example.com/default-image.jpg,,
